total polygons,608
1043,"[7921, 9414, 22, 'e']"
1044,"[8296.0, 9467.0, 7, 'r']"
1045,"[8287.0, 9555.0, 7, 'r']"
1047,"[8291.0, 9552.0, 7, 'r']"
1049,"[8280.0, 9547.0, 6, 'r']"
1051,"[8289, 9545, 11, 'e']"
1053,"[8211, 9568, 13, 'e']"
1056,"[6427.0, 9041.0, 9, 'r']"
1058,"[8410.0, 9526.0, 20, 'r']"
1059,"[6720.0, 9146.0, 7, 'r']"
1060,"[6630.0, 9163.0, 5, 'r']"
1062,"[6795.0, 9302.0, 6, 'r']"
1063,"[6800.0, 9250.0, 5, 'r']"
1064,"[6988.0, 9241.0, 6, 'r']"
1066,"[7919.0, 9420.0, 5, 'r']"
1067,"[8325, 9472, 6, 'e']"
1080,"[6427, 9041, 8, 'e']"
1081,"[6717.0, 9139.0, 5, 'r']"
1083,"[6758.0, 9265.0, 6, 'r']"
1085,"[6798.0, 9302.0, 5, 'r']"
1086,"[6817.0, 9253.0, 7, 'r']"
1087,"[6801.0, 9251.0, 5, 'r']"
1090,"[8447.0, 9570.0, 13, 'r']"
1091,"[6955.0, 9278.0, 5, 'r']"
1092,"[7310.0, 9314.0, 13, 'r']"
1094,"[7829.0, 9377.0, 21, 'r']"
1095,"[7919, 9419, 10, 'e']"
1096,"[7924.0, 9416.0, 5, 'r']"
1097,"[8091.0, 9658.0, 8, 'r']"
1098,"[8309.0, 9472.0, 5, 'r']"
1101,"[8284, 9555, 6, 'e']"
1108,"[8408.0, 9528.0, 8, 'r']"
1109,"[6617, 9142, 9, 'e']"
1110,"[6773.0, 9283.0, 5, 'r']"
1111,"[6772.0, 9281.0, 5, 'r']"
1115,"[6985.0, 9233.0, 9, 'r']"
1116,"[6853.0, 9252.0, 6, 'r']"
1119,"[8405.0, 9526.0, 10, 'r']"
1120,"[6841.0, 9253.0, 8, 'r']"
1124,"[8309, 9471, 8, 'e']"
1133,"[8356.0, 9508.0, 11, 'r']"
1138,"[8405.0, 9530.0, 13, 'r']"
1139,"[8407, 9530, 6, 'e']"
1140,"[8362.0, 9528.0, 11, 'r']"
1141,"[6537.0, 9152.0, 6, 'r']"
1142,"[6633.0, 9169.0, 8, 'r']"
1143,"[6736.0, 9261.0, 5, 'r']"
1145,"[8357.0, 9506.0, 14, 'r']"
1146,"[6828.0, 9253.0, 5, 'r']"
1147,"[6987.0, 9241.0, 7, 'r']"
1151,"[8245.0, 9671.0, 5, 'r']"
1159,"[8410.0, 9537.0, 11, 'r']"
1162,"[8414, 9546, 11, 'e']"
1163,"[8410.0, 9544.0, 6, 'r']"
1164,"[8412.0, 9544.0, 8, 'r']"
1165,"[8409.0, 9541.0, 5, 'r']"
1166,"[8411.0, 9542.0, 6, 'r']"
1167,"[8411.0, 9542.0, 4, 'r']"
1169,"[8413.0, 9532.0, 8, 'r']"
1171,"[8364, 9534, 13, 'e']"
1175,"[6814.0, 9253.0, 5, 'r']"
1176,"[6821.0, 9252.0, 10, 'r']"
1177,"[6986.0, 9233.0, 9, 'r']"
1178,"[7461.0, 9328.0, 7, 'r']"
1179,"[7794, 9349, 8, 'e']"
1191,"[8302.0, 9519.0, 6, 'r']"
1193,"[8357.0, 9508.0, 6, 'r']"
1194,"[8357.0, 9508.0, 8, 'r']"
1196,"[6426.0, 9042.0, 9, 'r']"
1198,"[6757.0, 9264.0, 6, 'r']"
1199,"[6800.0, 9304.0, 5, 'r']"
1200,"[6824, 9254, 6, 'e']"
1201,"[6813.0, 9254.0, 5, 'r']"
1204,"[6955.0, 9277.0, 6, 'r']"
1205,"[7310.0, 9305.0, 11, 'r']"
1207,"[7815.0, 9361.0, 5, 'r']"
1208,"[7923.0, 9418.0, 5, 'r']"
1210,"[7976.0, 9422.0, 10, 'r']"
1211,"[7978.0, 9413.0, 12, 'r']"
1212,"[8247, 9404, 6, 'e']"
1216,"[8209, 9569, 7, 'e']"
1217,"[8207.0, 9570.0, 8, 'r']"
1223,"[8424.0, 9574.0, 10, 'r']"
1224,"[8411.0, 9528.0, 18, 'r']"
1225,"[8426.0, 9536.0, 12, 'r']"
1226,"[8427.0, 9534.0, 11, 'r']"
1227,"[5035, 3487, 9, 'e']"
1232,"[5537, 4430, 10, 'e']"
1236,"[5959.0, 3905.0, 8, 'r']"
1238,"[5534, 4426, 10, 'e']"
1241,"[5942.0, 3927.0, 6, 'r']"
1242,"[3922.0, 5015.0, 9, 'r']"
1243,"[5665.0, 4566.0, 6, 'r']"
1244,"[5538.0, 4432.0, 12, 'r']"
1245,"[5038.0, 3469.0, 8, 'r']"
1246,"[3841, 4985, 11, 'e']"
1247,"[3822, 4986, 7, 'e']"
1248,"[5316, 4101, 11, 'e']"
1250,"[4830, 4659, 13, 'e']"
1253,"[3821.0, 5007.0, 8, 'r']"
1255,"[4787.0, 4727.0, 9, 'r']"
1257,"[5042.0, 3467.0, 8, 'r']"
1260,"[4987.0, 3496.0, 13, 'r']"
1261,"[4798.0, 3550.0, 8, 'r']"
1263,"[5536, 4425, 13, 'e']"
1264,"[5539.0, 4430.0, 15, 'r']"
1265,"[5024.0, 3949.0, 11, 'r']"
1273,"[5534.0, 4424.0, 12, 'r']"
1274,"[4816.0, 4492.0, 9, 'r']"
1278,"[3882.0, 4749.0, 6, 'r']"
1279,"[5009.0, 5002.0, 9, 'r']"
1280,"[4767, 4600, 11, 'e']"
1282,"[5022.0, 3948.0, 13, 'r']"
1287,"[5359.0, 3838.0, 10, 'r']"
1290,"[5635.0, 4576.0, 6, 'r']"
1291,"[5542.0, 4427.0, 9, 'r']"
1296,"[5033.0, 5008.0, 5, 'r']"
1302,"[5673.0, 4580.0, 6, 'r']"
1303,"[5037.0, 4188.0, 8, 'r']"
1305,"[5018.0, 3947.0, 10, 'r']"
1309,"[5668, 4582, 6, 'e']"
1310,"[5533.0, 4422.0, 14, 'r']"
1315,"[5532.0, 3907.0, 13, 'r']"
1316,"[5532.0, 3909.0, 13, 'r']"
1327,"[4809.0, 5019.0, 12, 'r']"
1328,"[4809.0, 5017.0, 12, 'r']"
1329,"[5409, 4465, 12, 'e']"
1330,"[5412.0, 4468.0, 11, 'r']"
1331,"[5411.0, 4466.0, 11, 'r']"
1340,"[5027, 5702, 19, 'e']"
1345,"[5348.0, 5466.0, 8, 'r']"
1352,"[5298.0, 5951.0, 16, 'r']"
1353,"[5546.0, 5147.0, 8, 'r']"
1355,"[5297.0, 5949.0, 14, 'r']"
1361,"[5143.0, 7081.0, 26, 'r']"
1363,"[5235.0, 6055.0, 71, 'r']"
1367,"[5251.0, 6133.0, 5, 'r']"
1368,"[5999, 7158, 10, 'e']"
1369,"[5255.0, 6129.0, 7, 'r']"
1371,"[5251.0, 6134.0, 5, 'r']"
1373,"[5153.0, 6147.0, 41, 'r']"
1374,"[5253.0, 6130.0, 5, 'r']"
1375,"[5072.0, 7076.0, 15, 'r']"
1378,"[6101.0, 7480.0, 13, 'r']"
1380,"[6414.0, 7635.0, 12, 'r']"
1384,"[5256.0, 6128.0, 7, 'r']"
1385,"[5997.0, 7158.0, 11, 'r']"
1386,"[6669.0, 7674.0, 13, 'r']"
1388,"[5996.0, 7159.0, 11, 'r']"
1389,"[5242.0, 6144.0, 8, 'r']"
1393,"[5140, 6020, 24, 'e']"
1396,"[5154.0, 6146.0, 37, 'r']"
1398,"[5239.0, 6011.0, 16, 'r']"
1401,"[5893.0, 6610.0, 5, 'r']"
1402,"[6459.0, 7624.0, 17, 'r']"
1403,"[5238.0, 6054.0, 25, 'r']"
1405,"[5919.0, 7391.0, 11, 'r']"
1406,"[6515.0, 7586.0, 11, 'r']"
1407,"[5635.0, 7081.0, 12, 'r']"
1408,"[5250.0, 6135.0, 5, 'r']"
1412,"[5922.0, 7066.0, 11, 'r']"
1413,"[5606.0, 6573.0, 12, 'r']"
1421,"[5292.0, 6100.0, 5, 'r']"
1435,"[6071.0, 3855.0, 6, 'r']"
1437,"[6540.0, 5521.0, 13, 'r']"
1442,"[6360.0, 3971.0, 13, 'r']"
1448,"[6160, 3862, 20, 'e']"
1450,"[6258.0, 4507.0, 14, 'r']"
1455,"[6996.0, 6017.0, 19, 'r']"
1456,"[6996, 6018, 17, 'e']"
1466,"[5102.0, 2775.0, 7, 'r']"
1467,"[3258.0, 4410.0, 8, 'r']"
1468,"[3278.0, 3360.0, 7, 'r']"
1469,"[3248, 3442, 12, 'e']"
1470,"[5141, 2770, 9, 'e']"
1474,"[3490.0, 3091.0, 11, 'r']"
1479,"[3894.0, 2834.0, 12, 'r']"
1481,"[5133.0, 2774.0, 10, 'r']"
1482,"[3419.0, 3194.0, 7, 'r']"
1483,"[3420.0, 3194.0, 9, 'r']"
1491,"[5137.0, 2771.0, 8, 'r']"
1492,"[5103, 2777, 7, 'e']"
1498,"[5289.0, 2698.0, 9, 'r']"
1504,"[5285.0, 2804.0, 9, 'r']"
1505,"[3843.0, 3031.0, 10, 'r']"
1509,"[3246.0, 4472.0, 11, 'r']"
1515,"[3400, 3229, 11, 'e']"
1517,"[3728.0, 2841.0, 12, 'r']"
1525,"[5383, 2817, 10, 'e']"
1531,"[3754, 6643, 6, 'e']"
1532,"[3756, 6642, 6, 'e']"
1533,"[4447, 6254, 17, 'e']"
1534,"[3582.0, 6700.0, 17, 'r']"
1535,"[4039, 6212, 11, 'e']"
1536,"[3784.0, 6569.0, 6, 'r']"
1538,"[3921, 6520, 6, 'e']"
1539,"[4252.0, 6787.0, 19, 'r']"
1541,"[3755.0, 6642.0, 6, 'r']"
1542,"[4443, 6251, 14, 'e']"
1544,"[3588.0, 6706.0, 5, 'r']"
1545,"[3925.0, 6464.0, 7, 'r']"
1547,"[3978, 6383, 6, 'e']"
1548,"[4488, 6437, 5, 'r']"
1552,"[3639.0, 6679.0, 7, 'r']"
1554,"[4034.0, 6269.0, 5, 'r']"
1560,"[3980.0, 6381.0, 7, 'r']"
1561,"[4080.0, 6718.0, 21, 'r']"
1563,"[3617, 6694, 18, 'e']"
1564,"[3762, 6635, 6, 'e']"
1565,"[3882.0, 6575.0, 7, 'r']"
1566,"[4374.0, 6500.0, 19, 'r']"
1567,"[4455, 6257, 15, 'e']"
1569,"[3803.0, 6552.0, 6, 'r']"
1570,"[3805.0, 6515.0, 5, 'r']"
1571,"[3975.0, 6386.0, 5, 'r']"
1572,"[4028.0, 6655.0, 5, 'r']"
1573,"[4035, 6270, 6, 'e']"
1578,"[4095.0, 6623.0, 6, 'r']"
1580,"[3861.0, 6600.0, 5, 'r']"
1583,"[5739, 2299, 18, 'e']"
1590,"[6728.0, 2375.0, 17, 'r']"
1592,"[5681.0, 2243.0, 14, 'r']"
1597,"[6979, 2942, 16, 'e']"
1599,"[6477, 2177, 13, 'e']"
1602,"[6720.0, 2071.0, 14, 'r']"
1603,"[5646.0, 2483.0, 14, 'r']"
1607,"[6980.0, 2939.0, 13, 'r']"
1622,"[7911, 2683, 26, 'e']"
1623,"[7957.0, 2632.0, 11, 'r']"
1625,"[6459.0, 2630.0, 16, 'r']"
1626,"[6501, 2075, 22, 'e']"
1628,"[5855.0, 2257.0, 14, 'r']"
1636,"[6513.0, 2205.0, 14, 'r']"
1647,"[7114, 2133, 25, 'e']"
1648,"[7595.0, 2628.0, 21, 'r']"
1649,"[6981, 2939, 14, 'e']"
1650,"[7008.0, 3180.0, 17, 'r']"
1658,"[5745.0, 2292.0, 18, 'r']"
1661,"[6787.0, 2058.0, 15, 'r']"
1662,"[6821, 2110, 14, 'e']"
1665,"[6543, 2380, 19, 'e']"
1670,"[4223.0, 2655.0, 21, 'r']"
1671,"[4335.0, 2531.0, 6, 'r']"
1672,"[4397.0, 2555.0, 7, 'r']"
1673,"[4348.0, 2568.0, 7, 'r']"
1675,"[4273.0, 2530.0, 5, 'r']"
1678,"[4331.0, 2551.0, 7, 'r']"
1679,"[4393.0, 2498.0, 5, 'r']"
1680,"[4273.0, 2328.0, 15, 'r']"
1681,"[4276.0, 2329.0, 19, 'r']"
1683,"[4278.0, 2329.0, 10, 'r']"
1684,"[4417.0, 2538.0, 6, 'r']"
1685,"[4145.0, 2461.0, 5, 'r']"
1686,"[4432.0, 2620.0, 5, 'r']"
1687,"[4350.0, 2534.0, 5, 'r']"
1688,"[4389.0, 2553.0, 6, 'r']"
1689,"[4336.0, 2589.0, 8, 'r']"
1690,"[4424.0, 2602.0, 5, 'r']"
1691,"[4221.0, 2470.0, 6, 'r']"
1693,"[4282, 2536, 6, 'e']"
1695,"[4390.0, 2538.0, 7, 'r']"
1696,"[4218, 2406, 6, 'e']"
1697,"[4414.0, 2594.0, 6, 'r']"
1698,"[4197.0, 2544.0, 5, 'r']"
1699,"[4333.0, 2581.0, 5, 'r']"
1700,"[4243.0, 2640.0, 30, 'r']"
1701,"[4255.0, 2655.0, 31, 'r']"
1702,"[4371.0, 2551.0, 9, 'r']"
1703,"[4210.0, 2407.0, 7, 'r']"
1704,"[4414.0, 2584.0, 5, 'r']"
1705,"[4196.0, 2484.0, 5, 'r']"
1707,"[4372.0, 2539.0, 19, 'r']"
1709,"[4275.0, 2327.0, 11, 'r']"
1710,"[4357.0, 2550.0, 5, 'r']"
1711,"[4278.0, 2327.0, 9, 'r']"
1712,"[4397.0, 2554.0, 8, 'r']"
1713,"[4283.0, 2332.0, 17, 'r']"
1714,"[4218.0, 2425.0, 36, 'r']"
1715,"[4185, 2480, 5, 'e']"
1716,"[4119.0, 2624.0, 5, 'r']"
1717,"[4403.0, 2559.0, 5, 'r']"
1718,"[4372.0, 2578.0, 5, 'r']"
1719,"[4187.0, 2470.0, 5, 'r']"
1721,"[4277, 2537, 6, 'e']"
1722,"[4112.0, 2644.0, 15, 'r']"
1723,"[4330.0, 2548.0, 5, 'r']"
1724,"[4394.0, 2566.0, 5, 'r']"
1725,"[4353.0, 2574.0, 5, 'r']"
1726,"[4172.0, 2450.0, 5, 'r']"
1727,"[4340.0, 2610.0, 5, 'r']"
1728,"[4196.0, 2542.0, 5, 'r']"
1729,"[4291.0, 2509.0, 5, 'r']"
1732,"[4331.0, 6232.0, 16, 'r']"
1733,"[4157.0, 6211.0, 6, 'r']"
1734,"[4230.0, 5936.0, 5, 'r']"
1735,"[4246.0, 5958.0, 7, 'r']"
1736,"[4270.0, 6242.0, 5, 'r']"
1737,"[4145.0, 6099.0, 6, 'r']"
1738,"[4219.0, 5962.0, 5, 'r']"
1739,"[4225.0, 5943.0, 22, 'r']"
1740,"[4232, 5878, 45, 'e']"
1742,"[4339.0, 6232.0, 26, 'r']"
1743,"[4089.0, 6239.0, 5, 'r']"
1745,"[4221.0, 5961.0, 8, 'r']"
1746,"[4227.0, 5936.0, 6, 'r']"
1747,"[4231.0, 5936.0, 8, 'r']"
1748,"[4247.0, 6275.0, 9, 'r']"
1749,"[4258.0, 5948.0, 5, 'r']"
1750,"[4153.0, 6104.0, 11, 'r']"
1751,"[4172.0, 6076.0, 7, 'r']"
1752,"[4247.0, 5926.0, 5, 'r']"
1753,"[4258.0, 5944.0, 7, 'r']"
1754,"[4264.0, 5899.0, 7, 'r']"
1756,"[4155.0, 6113.0, 6, 'r']"
1757,"[4218.0, 5963.0, 5, 'r']"
1758,"[4226.0, 5966.0, 5, 'r']"
1759,"[4352.0, 6277.0, 11, 'r']"
1762,"[4253.0, 5952.0, 12, 'r']"
1763,"[4350.0, 6228.0, 5, 'r']"
1765,"[4225.0, 5966.0, 5, 'r']"
1766,"[4233.0, 5951.0, 5, 'r']"
1767,"[4087.0, 6300.0, 8, 'r']"
1768,"[4346.0, 6286.0, 6, 'r']"
1769,"[4273.0, 5906.0, 7, 'r']"
1770,"[4097.0, 6237.0, 6, 'r']"
1772,"[4099.0, 6237.0, 5, 'r']"
1773,"[4230.0, 5876.0, 32, 'r']"
1774,"[4242.0, 5945.0, 9, 'r']"
1777,"[1444.0, 5798.0, 15, 'r']"
1782,"[2332, 1725, 11, 'e']"
1783,"[2338.0, 1738.0, 12, 'r']"
1786,"[3218, 2269, 10, 'e']"
1789,"[2969.0, 2014.0, 11, 'r']"
1801,"[2341, 1745, 12, 'e']"
1803,"[2625, 2159, 12, 'e']"
1805,"[2284, 2302, 12, 'e']"
1806,"[2968.0, 1943.0, 14, 'r']"
1809,"[2328.0, 1732.0, 12, 'r']"
1811,"[3463.0, 2277.0, 13, 'r']"
1817,"[3513.0, 1530.0, 13, 'r']"
1821,"[3547, 1535, 7, 'e']"
1822,"[2326.0, 1737.0, 10, 'r']"
1825,"[2473.0, 1640.0, 6, 'r']"
1828,"[3213.0, 2267.0, 10, 'r']"
1830,"[3770.0, 1192.0, 4, 'r']"
1839,"[3158, 1405, 15, 'e']"
1844,"[2088.0, 1955.0, 11, 'r']"
1847,"[2305.0, 1672.0, 6, 'r']"
1853,"[3756.0, 1204.0, 13, 'r']"
1855,"[2297.0, 2812.0, 14, 'r']"
1856,"[2675, 2452, 12, 'e']"
1859,"[2770.0, 2666.0, 10, 'r']"
1860,"[3080.0, 1416.0, 15, 'r']"
1866,"[3316, 1979, 12, 'e']"
1871,"[1691.0, 2498.0, 5, 'r']"
1874,"[1947, 2185, 14, 'e']"
1875,"[2018.0, 2192.0, 5, 'r']"
1877,"[1680, 2518, 7, 'e']"
1883,"[1920.0, 2194.0, 5, 'r']"
1884,"[1637.0, 2395.0, 8, 'r']"
1887,"[586, 3788, 10, 'e']"
1889,"[586.0, 3788.0, 17, 'r']"
1895,"[1466, 2703, 15, 'e']"
1897,"[1153, 3080, 11, 'e']"
1899,"[1153.0, 3082.0, 9, 'r']"
1902,"[1327, 2713, 12, 'e']"
1905,"[583.0, 3786.0, 9, 'r']"
1907,"[1491, 3103, 12, 'e']"
1909,"[535, 2710, 15, 'e']"
1915,"[1133.0, 3062.0, 10, 'r']"
1917,"[662, 3623, 11, 'e']"
1925,"[1470, 2700, 15, 'e']"
1926,"[1134.0, 3064.0, 9, 'r']"
1934,"[1568.0, 5700.0, 17, 'r']"
1935,"[935.0, 4121.0, 13, 'r']"
1936,"[1563.0, 5701.0, 21, 'r']"
1938,"[1225, 4186, 10, 'e']"
1939,"[1793.0, 4544.0, 24, 'r']"
1941,"[1793.0, 4541.0, 35, 'r']"
1942,"[1724.0, 4961.0, 18, 'r']"
1947,"[1793.0, 4539.0, 18, 'r']"
1949,"[964, 4265, 18, 'e']"
1950,"[1890, 5519, 6, 'e']"
1951,"[1560.0, 5700.0, 13, 'r']"
1954,"[1560.0, 5701.0, 14, 'r']"
1955,"[1465.0, 4548.0, 11, 'r']"
1956,"[1811.0, 4577.0, 5, 'r']"
1957,"[1857.0, 4809.0, 12, 'r']"
1958,"[1248.0, 4356.0, 10, 'r']"
1959,"[1497.0, 4234.0, 11, 'r']"
1960,"[1817.0, 5545.0, 17, 'r']"
1962,"[1583.0, 4673.0, 11, 'r']"
1963,"[1482.0, 5742.0, 16, 'r']"
1966,"[963, 4271, 22, 'e']"
1975,"[1311.0, 4068.0, 9, 'r']"
1977,"[1698, 5061, 14, 'e']"
1978,"[1589.0, 4663.0, 12, 'r']"
1981,"[825.0, 4431.0, 25, 'r']"
1982,"[825.0, 4428.0, 12, 'r']"
1984,"[1810.0, 5309.0, 13, 'r']"
