total polygons,1219
243,"[2465.0, 296.0, 15, 'r']"
245,"[2363, 550, 13, 'e']"
246,"[2405.0, 738.0, 13, 'r']"
247,"[2730.0, 846.0, 17, 'r']"
252,"[2426, 851, 19, 'e']"
255,"[2363.0, 547.0, 13, 'r']"
256,"[1811.0, 949.0, 12, 'r']"
259,"[2519.0, 240.0, 13, 'r']"
263,"[2520.0, 365.0, 14, 'r']"
265,"[2459.0, 163.0, 12, 'r']"
267,"[1840.0, 508.0, 14, 'r']"
268,"[2403.0, 661.0, 15, 'r']"
270,"[2766.0, 142.0, 19, 'r']"
272,"[2842.0, 201.0, 19, 'r']"
277,"[2049, 1101, 15, 'e']"
281,"[2046, 1101, 14, 'e']"
283,"[2756.0, 435.0, 12, 'r']"
289,"[2726.0, 1076.0, 13, 'r']"
295,"[1852.0, 172.0, 12, 'r']"
299,"[2563.0, 332.0, 14, 'r']"
302,"[217, 1083, 16, 'e']"
304,"[921.0, 966.0, 12, 'r']"
305,"[515, 1582, 22, 'e']"
307,"[726.0, 1371.0, 18, 'r']"
308,"[239.0, 1489.0, 25, 'r']"
309,"[931.0, 692.0, 17, 'r']"
311,"[1589.0, 365.0, 13, 'r']"
313,"[935, 696, 14, 'e']"
314,"[1506.0, 483.0, 23, 'r']"
315,"[105.0, 1281.0, 19, 'r']"
317,"[733.0, 2017.0, 5, 'r']"
318,"[742.0, 1924.0, 15, 'r']"
321,"[837.0, 735.0, 27, 'r']"
322,"[933.0, 688.0, 15, 'r']"
2057,"[4094.0, 1093.0, 24, 'r']"
325,"[994, 878, 16, 'e']"
327,"[1108.0, 1066.0, 15, 'r']"
329,"[1406, 612, 14, 'e']"
331,"[930.0, 694.0, 17, 'r']"
332,"[932.0, 688.0, 23, 'r']"
335,"[728, 1374, 16, 'e']"
337,"[744, 1924, 16, 'e']"
340,"[1020, 652, 16, 'e']"
343,"[728, 1373, 19, 'e']"
344,"[1023.0, 868.0, 12, 'r']"
346,"[1583, 359, 15, 'e']"
347,"[1113.0, 1069.0, 20, 'r']"
348,"[1504.0, 479.0, 23, 'r']"
350,"[242.0, 1490.0, 30, 'r']"
351,"[215, 1084, 19, 'e']"
352,"[930.0, 692.0, 17, 'r']"
353,"[265, 1450, 25, 'e']"
354,"[597.0, 1688.0, 26, 'r']"
358,"[1249.0, 966.0, 27, 'r']"
359,"[385.0, 1707.0, 13, 'r']"
363,"[1567.0, 674.0, 16, 'r']"
365,"[1011.0, 652.0, 16, 'r']"
366,"[1259.0, 751.0, 19, 'r']"
370,"[1360.0, 588.0, 14, 'r']"
373,"[1567.0, 672.0, 17, 'r']"
374,"[684.0, 2003.0, 11, 'r']"
377,"[929.0, 954.0, 17, 'r']"
381,"[384.0, 1703.0, 12, 'r']"
383,"[716.0, 1817.0, 35, 'r']"
385,"[741.0, 1924.0, 15, 'r']"
387,"[717.0, 1817.0, 15, 'r']"
388,"[139.0, 1232.0, 13, 'r']"
390,"[1478.0, 757.0, 22, 'r']"
393,"[1186.0, 776.0, 13, 'r']"
394,"[450, 1784, 11, 'e']"
396,"[703, 1048, 15, 'e']"
397,"[1563.0, 678.0, 18, 'r']"
399,"[222.0, 1390.0, 15, 'r']"
400,"[385.0, 1705.0, 11, 'r']"
401,"[736.0, 2016.0, 9, 'r']"
402,"[1005, 872, 13, 'e']"
403,"[919.0, 1125.0, 20, 'r']"
404,"[1567.0, 676.0, 16, 'r']"
405,"[247.0, 1066.0, 16, 'r']"
406,"[374, 1649, 11, 'e']"
409,"[998, 877, 16, 'e']"
411,"[1667.0, 583.0, 16, 'r']"
413,"[598.0, 1688.0, 19, 'r']"
415,"[503.0, 1743.0, 14, 'r']"
416,"[1480.0, 510.0, 19, 'r']"
417,"[932.0, 690.0, 18, 'r']"
419,"[291.0, 1620.0, 17, 'r']"
420,"[1014, 653, 16, 'e']"
421,"[1005.0, 874.0, 11, 'r']"
422,"[933, 690, 19, 'e']"
425,"[1679.0, 603.0, 7, 'r']"
429,"[528, 1661, 20, 'e']"
430,"[1566.0, 676.0, 18, 'r']"
432,"[1263.0, 562.0, 20, 'r']"
433,"[632.0, 1870.0, 17, 'r']"
436,"[934.0, 696.0, 16, 'r']"
439,"[106.0, 1280.0, 16, 'r']"
441,"[931.0, 693.0, 29, 'r']"
443,"[761.0, 1819.0, 10, 'r']"
446,"[929.0, 695.0, 22, 'r']"
447,"[383.0, 1710.0, 22, 'r']"
449,"[700.0, 1818.0, 18, 'r']"
450,"[927.0, 687.0, 20, 'r']"
452,"[528, 1295, 24, 'e']"
460,"[2790, 2358, 17, 'r']"
461,"[2549.0, 1587.0, 13, 'r']"
464,"[2586.0, 2318.0, 21, 'r']"
466,"[2585, 2337, 17, 'e']"
467,"[2585.0, 2338.0, 20, 'r']"
469,"[2385.0, 1560.0, 5, 'r']"
470,"[2594, 2287, 15, 'e']"
475,"[2787, 2314, 13, 'e']"
478,"[2592.0, 2308.0, 19, 'r']"
481,"[2383.0, 1562.0, 5, 'r']"
482,"[2363, 1601, 30, 'e']"
483,"[2639.0, 1799.0, 14, 'r']"
484,"[2507.0, 1971.0, 9, 'r']"
487,"[2387, 1571, 10, 'r']"
490,"[2527.0, 1831.0, 13, 'r']"
492,"[1704.0, 2308.0, 22, 'r']"
493,"[1863, 1963, 18, 'e']"
494,"[2213.0, 1769.0, 17, 'r']"
495,"[2194.0, 2552.0, 15, 'r']"
498,"[2344, 1662, 33, 'e']"
500,"[2054.0, 1170.0, 7, 'r']"
502,"[1667, 1262, 13, 'e']"
505,"[1532, 1942, 31, 'e']"
506,"[2062.0, 2410.0, 15, 'r']"
507,"[1928, 1797, 13, 'e']"
509,"[2015.0, 1388.0, 18, 'r']"
511,"[1779.0, 2499.0, 24, 'r']"
514,"[1575.0, 2195.0, 18, 'r']"
515,"[1778.0, 2498.0, 37, 'r']"
518,"[2358, 1672, 13, 'e']"
520,"[1579, 2243, 27, 'e']"
521,"[1911, 2447, 20, 'e']"
522,"[1532.0, 1969.0, 6, 'r']"
527,"[1965.0, 2371.0, 15, 'r']"
528,"[1487.0, 2405.0, 12, 'r']"
529,"[1931.0, 1854.0, 40, 'r']"
531,"[2163, 1777, 27, 'e']"
533,"[1574.0, 2249.0, 27, 'r']"
534,"[2226.0, 2301.0, 14, 'r']"
537,"[1779.0, 2501.0, 22, 'r']"
545,"[2029.0, 1213.0, 21, 'r']"
546,"[1827.0, 2487.0, 9, 'r']"
553,"[2218, 1973, 23, 'e']"
554,"[2126.0, 1183.0, 22, 'r']"
555,"[1928.0, 2300.0, 16, 'r']"
559,"[1609.0, 2303.0, 18, 'r']"
560,"[2347, 1664, 34, 'e']"
561,"[2038.0, 1587.0, 11, 'r']"
564,"[1920.0, 2004.0, 17, 'r']"
569,"[1614, 2078, 31, 'e']"
571,"[2010.0, 1580.0, 15, 'r']"
572,"[1534, 1983, 46, 'e']"
574,"[1536.0, 1994.0, 11, 'r']"
576,"[1769.0, 2480.0, 26, 'r']"
578,"[2008.0, 1579.0, 16, 'r']"
580,"[1847.0, 2142.0, 18, 'r']"
584,"[1915, 2405, 16, 'e']"
585,"[2018, 1388, 16, 'e']"
586,"[1914.0, 1973.0, 17, 'r']"
589,"[1780, 2504, 25, 'e']"
590,"[1966, 2279, 17, 'e']"
591,"[1541.0, 2148.0, 15, 'r']"
598,"[1845.0, 3400.0, 23, 'r']"
599,"[2026.0, 2814.0, 32, 'r']"
600,"[1873.0, 3090.0, 23, 'r']"
603,"[1410, 3090, 9, 'e']"
608,"[1447, 2678, 19, 'e']"
610,"[2584.0, 3051.0, 20, 'r']"
613,"[1441.0, 3080.0, 21, 'r']"
614,"[2710.0, 3089.0, 25, 'r']"
618,"[2316, 3561, 16, 'e']"
620,"[2827.0, 3546.0, 29, 'r']"
621,"[2301.0, 3489.0, 26, 'r']"
622,"[1391.0, 2993.0, 26, 'r']"
623,"[1432.0, 2679.0, 17, 'r']"
624,"[2314.0, 3771.0, 9, 'r']"
626,"[2697, 3073, 31, 'e']"
628,"[2332.0, 3745.0, 10, 'r']"
631,"[2322.0, 3741.0, 8, 'r']"
632,"[2702, 3085, 27, 'e']"
633,"[2095, 2625, 27, 'e']"
634,"[2595.0, 3361.0, 21, 'r']"
635,"[2327, 3744, 22, 'e']"
2067,"[4077.0, 1102.0, 16, 'r']"
643,"[2320.0, 3740.0, 9, 'r']"
644,"[2591.0, 3326.0, 18, 'r']"
645,"[2313.0, 3770.0, 9, 'r']"
647,"[2336.0, 3746.0, 9, 'r']"
649,"[2705.0, 3572.0, 22, 'r']"
650,"[1743.0, 2763.0, 24, 'r']"
653,"[2025.0, 3243.0, 23, 'r']"
654,"[2259, 3617, 20, 'e']"
656,"[2318.0, 3773.0, 9, 'r']"
657,"[1392, 2995, 28, 'e']"
658,"[1793.0, 2577.0, 4, 'r']"
660,"[2412.0, 3763.0, 17, 'r']"
662,"[2238.0, 3861.0, 13, 'r']"
665,"[2265, 3599, 19, 'e']"
666,"[2323.0, 3741.0, 10, 'r']"
667,"[2326.0, 3743.0, 10, 'r']"
668,"[2308.0, 3767.0, 9, 'r']"
669,"[2317.0, 3772.0, 8, 'r']"
670,"[2311.0, 3488.0, 20, 'r']"
672,"[1389.0, 2992.0, 20, 'r']"
674,"[2624, 3298, 21, 'e']"
675,"[1859, 3374, 22, 'e']"
677,"[2836.0, 3544.0, 20, 'r']"
679,"[2716, 3772, 21, 'e']"
680,"[2232.0, 3862.0, 19, 'r']"
681,"[2323.0, 3784.0, 22, 'r']"
683,"[2245, 3858, 10, 'e']"
686,"[2549.0, 3828.0, 45, 'r']"
687,"[2237.0, 3862.0, 17, 'r']"
688,"[2335.0, 3746.0, 9, 'r']"
689,"[2328.0, 3743.0, 9, 'r']"
693,"[1869.0, 3369.0, 18, 'r']"
695,"[2643.0, 3044.0, 18, 'r']"
697,"[1715.0, 2783.0, 15, 'r']"
698,"[1868.0, 3369.0, 19, 'r']"
700,"[2694, 3076, 23, 'e']"
703,"[1750.0, 2600.0, 14, 'r']"
704,"[1875.0, 3383.0, 22, 'r']"
706,"[2474, 3430, 22, 'e']"
707,"[1878.0, 3377.0, 19, 'r']"
708,"[2312.0, 3769.0, 9, 'r']"
712,"[2310.0, 3768.0, 9, 'r']"
713,"[2333.0, 3745.0, 9, 'r']"
714,"[2329.0, 3744.0, 10, 'r']"
715,"[2330.0, 3744.0, 9, 'r']"
716,"[2325.0, 3742.0, 10, 'r']"
725,"[2309.0, 3768.0, 9, 'r']"
726,"[2799, 3715, 21, 'e']"
728,"[2833.0, 3545.0, 22, 'r']"
729,"[1390.0, 2993.0, 25, 'r']"
732,"[1642.0, 3056.0, 19, 'r']"
733,"[1660.0, 3085.0, 5, 'r']"
734,"[1497.0, 3054.0, 6, 'r']"
736,"[1563.0, 3070.0, 7, 'r']"
737,"[1408.0, 3073.0, 8, 'r']"
738,"[1409.0, 3095.0, 5, 'r']"
739,"[1488.0, 2998.0, 70, 'r']"
740,"[1529.0, 2987.0, 5, 'r']"
741,"[1529.0, 2987.0, 8, 'r']"
742,"[1529.0, 3077.0, 6, 'r']"
743,"[1406.0, 3073.0, 9, 'r']"
744,"[1656.0, 2949.0, 10, 'r']"
745,"[1487.0, 2974.0, 10, 'r']"
746,"[1493.0, 2947.0, 27, 'r']"
747,"[1500.0, 3106.0, 8, 'r']"
748,"[1528.0, 2986.0, 7, 'r']"
749,"[1570.0, 2961.0, 6, 'r']"
750,"[1405.0, 3071.0, 8, 'r']"
751,"[1424.0, 3081.0, 13, 'r']"
754,"[1498.0, 3055.0, 9, 'r']"
755,"[1407.0, 3073.0, 9, 'r']"
756,"[1411.0, 3095.0, 10, 'r']"
757,"[1424.0, 3074.0, 7, 'r']"
758,"[1471, 2974, 13, 'e']"
759,"[1482.0, 3114.0, 8, 'r']"
760,"[1497.0, 3053.0, 5, 'r']"
761,"[1624.0, 2988.0, 12, 'r']"
762,"[1410.0, 3089.0, 19, 'r']"
763,"[1468.0, 3114.0, 11, 'r']"
764,"[1486.0, 3001.0, 86, 'r']"
765,"[1488.0, 2999.0, 79, 'r']"
766,"[1407.0, 3071.0, 10, 'r']"
767,"[1408.0, 3098.0, 22, 'r']"
768,"[1448.0, 3111.0, 8, 'r']"
770,"[1473.0, 3118.0, 15, 'r']"
771,"[1485, 2968, 16, 'r']"
772,"[1488.0, 2984.0, 10, 'r']"
773,"[1489.0, 3059.0, 9, 'r']"
774,"[1490.0, 3060.0, 6, 'r']"
775,"[1508.0, 3036.0, 6, 'r']"
776,"[1563.0, 3071.0, 6, 'r']"
777,"[1406.0, 3098.0, 11, 'r']"
778,"[1658.0, 3056.0, 10, 'r']"
779,"[1615.0, 3070.0, 6, 'r']"
780,"[1470.0, 3112.0, 6, 'r']"
781,"[1486.0, 3000.0, 5, 'r']"
782,"[1487.0, 3000.0, 74, 'r']"
783,"[1516.0, 3036.0, 7, 'r']"
784,"[1441.0, 3081.0, 13, 'r']"
785,"[1483.0, 2956.0, 7, 'r']"
786,"[1459.0, 3121.0, 9, 'r']"
790,"[1624.0, 3177.0, 8, 'r']"
794,"[1624, 3177, 10, 'e']"
795,"[1725.0, 2934.0, 11, 'r']"
796,"[1646.0, 2886.0, 10, 'r']"
797,"[1787.0, 3144.0, 6, 'r']"
800,"[2095.0, 2625.0, 10, 'r']"
801,"[1728.0, 2776.0, 10, 'r']"
805,"[1582.0, 2900.0, 6, 'r']"
806,"[1623.0, 3178.0, 9, 'r']"
807,"[1645.0, 2886.0, 9, 'r']"
808,"[1743.0, 2764.0, 11, 'r']"
809,"[2008.0, 2828.0, 12, 'r']"
810,"[2026.0, 2818.0, 15, 'r']"
815,"[1471.0, 2866.0, 8, 'r']"
817,"[1623.0, 3178.0, 8, 'r']"
818,"[2062, 2775, 16, 'e']"
826,"[2194.0, 3146.0, 13, 'r']"
829,"[1646.0, 2888.0, 10, 'r']"
830,"[1719.0, 2787.0, 11, 'r']"
831,"[2225, 2642, 9, 'e']"
836,"[1825.0, 3167.0, 7, 'r']"
839,"[1620.0, 2285.0, 9, 'r']"
840,"[1661.0, 2343.0, 18, 'r']"
841,"[1877.0, 2298.0, 21, 'r']"
842,"[1608.0, 2297.0, 9, 'r']"
843,"[1538.0, 2031.0, 6, 'r']"
844,"[1911, 2449, 21, 'e']"
845,"[1582.0, 2166.0, 19, 'r']"
846,"[1578.0, 2025.0, 15, 'r']"
847,"[1541.0, 2148.0, 20, 'r']"
848,"[1631.0, 2162.0, 12, 'r']"
850,"[1638.0, 2289.0, 5, 'r']"
852,"[1652.0, 2347.0, 12, 'r']"
853,"[1608.0, 2300.0, 6, 'r']"
855,"[1914.0, 2405.0, 16, 'r']"
856,"[1964.0, 2372.0, 15, 'r']"
857,"[1584, 2027, 16, 'e']"
858,"[1472, 2413, 28, 'e']"
859,"[1930.0, 2319.0, 18, 'r']"
861,"[1634.0, 2299.0, 6, 'r']"
862,"[1610, 2298, 10, 'e']"
863,"[1694.0, 2347.0, 35, 'r']"
864,"[1912.0, 2447.0, 17, 'r']"
865,"[1553, 2126, 14, 'e']"
866,"[1630.0, 2166.0, 11, 'r']"
867,"[1607.0, 2300.0, 5, 'r']"
868,"[1617.0, 2284.0, 7, 'r']"
870,"[1877.0, 2301.0, 23, 'r']"
871,"[1934.0, 2495.0, 8, 'r']"
872,"[1579.0, 2023.0, 16, 'r']"
873,"[1934.0, 2495.0, 8, 'r']"
874,"[1911.0, 2447.0, 16, 'r']"
875,"[1574.0, 2250.0, 31, 'r']"
877,"[1629.0, 2281.0, 5, 'r']"
878,"[1693.0, 2348.0, 9, 'r']"
879,"[1640.0, 2111.0, 16, 'r']"
880,"[1876.0, 2298.0, 20, 'r']"
881,"[1561.0, 2234.0, 16, 'r']"
882,"[1551.0, 2120.0, 6, 'r']"
883,"[1878.0, 2296.0, 8, 'r']"
884,"[1928.0, 2300.0, 21, 'r']"
885,"[1562.0, 2235.0, 16, 'r']"
887,"[1626.0, 2279.0, 5, 'r']"
890,"[2326.0, 3743.0, 7, 'r']"
891,"[2253.0, 3626.0, 7, 'r']"
892,"[2259, 3617, 10, 'e']"
896,"[1774.0, 3359.0, 7, 'r']"
897,"[2311.0, 3488.0, 7, 'r']"
898,"[2594.0, 3378.0, 9, 'r']"
900,"[1852.0, 3381.0, 7, 'r']"
901,"[2091.0, 3454.0, 6, 'r']"
902,"[1875, 3384, 12, 'e']"
904,"[1783, 3350, 8, 'e']"
905,"[2310.0, 3768.0, 11, 'r']"
906,"[2332.0, 3745.0, 7, 'r']"
909,"[1854.0, 3384.0, 9, 'r']"
910,"[1850.0, 3383.0, 9, 'r']"
912,"[1850.0, 3389.0, 7, 'r']"
914,"[1850.0, 3384.0, 6, 'r']"
915,"[1853.0, 3382.0, 7, 'r']"
916,"[1967.0, 3177.0, 10, 'r']"
918,"[2309.0, 3768.0, 9, 'r']"
920,"[2322.0, 3741.0, 7, 'r']"
923,"[2591.0, 3326.0, 7, 'r']"
924,"[1849.0, 3386.0, 11, 'r']"
926,"[1848.0, 3389.0, 5, 'r']"
927,"[1768.0, 3360.0, 6, 'r']"
928,"[1851.0, 3380.0, 7, 'r']"
930,"[2031.0, 3488.0, 7, 'r']"
931,"[1852.0, 3385.0, 7, 'r']"
932,"[2549, 3829, 8, 'e']"
935,"[1851.0, 3384.0, 10, 'r']"
936,"[2312.0, 3769.0, 9, 'r']"
938,"[1848.0, 3388.0, 9, 'r']"
939,"[2318.0, 3773.0, 9, 'r']"
940,"[1872, 3389, 7, 'e']"
941,"[1853.0, 3383.0, 7, 'r']"
943,"[1851.0, 3388.0, 7, 'r']"
944,"[2336.0, 3746.0, 7, 'r']"
945,"[2308.0, 3767.0, 9, 'r']"
946,"[2716.0, 3773.0, 9, 'r']"
947,"[2329.0, 3744.0, 7, 'r']"
950,"[1846.0, 3388.0, 7, 'r']"
952,"[2333.0, 3745.0, 7, 'r']"
953,"[2320.0, 3740.0, 9, 'r']"
956,"[2715.0, 3771.0, 9, 'r']"
958,"[1859.0, 3373.0, 7, 'r']"
959,"[1860, 3299, 11, 'e']"
964,"[1852.0, 3387.0, 7, 'r']"
965,"[1848.0, 3387.0, 7, 'r']"
967,"[1849, 3383, 8, 'e']"
971,"[2415.0, 3768.0, 35, 'r']"
972,"[2323.0, 3784.0, 35, 'r']"
973,"[2264.0, 3598.0, 9, 'r']"
974,"[1845.0, 3400.0, 9, 'r']"
975,"[2531.0, 3278.0, 6, 'r']"
976,"[2098.0, 3564.0, 6, 'r']"
977,"[2317.0, 3772.0, 8, 'r']"
979,"[1867.0, 3369.0, 7, 'r']"
980,"[1842.0, 3400.0, 6, 'r']"
982,"[2328.0, 3743.0, 7, 'r']"
985,"[2313.0, 3770.0, 9, 'r']"
987,"[1849.0, 3380.0, 7, 'r']"
988,"[2327, 3744, 22, 'e']"
989,"[2323.0, 3741.0, 7, 'r']"
991,"[2330.0, 3744.0, 7, 'r']"
992,"[2314.0, 3771.0, 9, 'r']"
993,"[2080.0, 3291.0, 7, 'r']"
994,"[2412.0, 3763.0, 26, 'r']"
996,"[2474, 3431, 10, 'e']"
997,"[1823, 3267, 31, 'e']"
999,"[1850.0, 3380.0, 10, 'r']"
1000,"[2623.0, 3297.0, 7, 'r']"
1001,"[1868.0, 3369.0, 7, 'r']"
1002,"[1847.0, 3386.0, 9, 'r']"
1003,"[2739.0, 3825.0, 7, 'r']"
1004,"[2325.0, 3742.0, 7, 'r']"
1005,"[1879.0, 3376.0, 9, 'r']"
1006,"[2335.0, 3746.0, 7, 'r']"
1010,"[1849.0, 3390.0, 13, 'r']"
1011,"[2680.0, 3324.0, 5, 'r']"
1012,"[2682.0, 3317.0, 11, 'r']"
1014,"[2632.0, 3555.0, 12, 'r']"
1016,"[2336.0, 3782.0, 5, 'r']"
1018,"[2650.0, 3661.0, 6, 'r']"
1019,"[2696.0, 3666.0, 6, 'r']"
1020,"[3377.0, 3835.0, 11, 'r']"
1021,"[3342.0, 3803.0, 15, 'r']"
1022,"[2731.0, 3702.0, 5, 'r']"
1023,"[2717.0, 3721.0, 5, 'r']"
1025,"[3206, 3722, 10, 'e']"
1027,"[3127.0, 3845.0, 7, 'r']"
1029,"[3330.0, 3806.0, 9, 'r']"
1031,"[3332, 3803, 23, 'e']"
1033,"[3363, 3838, 6, 'e']"
1034,"[3369.0, 3832.0, 9, 'r']"
1035,"[3366.0, 3829.0, 24, 'r']"
1036,"[2702.0, 3706.0, 6, 'r']"
1037,"[2699.0, 3704.0, 5, 'r']"
1039,"[2742.0, 3701.0, 6, 'r']"
1040,"[3216.0, 3745.0, 4, 'r']"
1041,"[3073.0, 3750.0, 8, 'r']"
1042,"[3167.0, 3767.0, 5, 'r']"
1043,"[3168.0, 3766.0, 22, 'r']"
1044,"[3318.0, 3787.0, 7, 'r']"
1045,"[3315.0, 3823.0, 7, 'r']"
1046,"[3315.0, 3821.0, 14, 'r']"
1047,"[3317, 3822, 7, 'e']"
1048,"[3314, 3822, 10, 'e']"
1049,"[3312.0, 3819.0, 6, 'r']"
1051,"[3315.0, 3818.0, 11, 'r']"
1053,"[3284.0, 3827.0, 13, 'r']"
1055,"[3368.0, 3821.0, 48, 'r']"
1056,"[2571.0, 3617.0, 9, 'r']"
1057,"[3363.0, 3813.0, 9, 'r']"
1058,"[3364.0, 3811.0, 20, 'r']"
1059,"[2688.0, 3659.0, 7, 'r']"
1060,"[2652.0, 3666.0, 5, 'r']"
1061,"[3376.0, 3821.0, 15, 'r']"
1062,"[2718.0, 3721.0, 6, 'r']"
1063,"[2720.0, 3700.0, 5, 'r']"
1064,"[2795.0, 3697.0, 6, 'r']"
1065,"[3115.0, 3740.0, 10, 'r']"
1066,"[3168.0, 3768.0, 5, 'r']"
1067,"[3330.0, 3789.0, 6, 'r']"
1070,"[3316.0, 3810.0, 20, 'r']"
1072,"[3283, 3869, 7, 'e']"
1077,"[3341.0, 3802.0, 34, 'r']"
1079,"[3364.0, 3814.0, 12, 'r']"
1080,"[2570.0, 3617.0, 8, 'r']"
1081,"[2687.0, 3656.0, 5, 'r']"
1082,"[2690.0, 3664.0, 27, 'r']"
1083,"[2703.0, 3707.0, 6, 'r']"
1085,"[2719.0, 3721.0, 5, 'r']"
1086,"[2727.0, 3702.0, 7, 'r']"
1087,"[2721.0, 3701.0, 5, 'r']"
1089,"[3352.0, 3809.0, 15, 'r']"
1090,"[3379.0, 3829.0, 13, 'r']"
1091,"[2782.0, 3711.0, 5, 'r']"
1092,"[2924.0, 3726.0, 13, 'r']"
1093,"[3146.0, 3754.0, 15, 'r']"
1094,"[3132.0, 3751.0, 21, 'r']"
1095,"[3167.0, 3768.0, 10, 'r']"
1096,"[3170.0, 3767.0, 5, 'r']"
1097,"[3236.0, 3864.0, 8, 'r']"
1098,"[3324.0, 3789.0, 5, 'r']"
1101,"[3313.0, 3822.0, 6, 'r']"
1102,"[3313.0, 3812.0, 28, 'r']"
1103,"[3318.0, 3822.0, 8, 'r']"
1104,"[3323.0, 3805.0, 11, 'r']"
1107,"[2551, 3599, 60, 'e']"
1108,"[3363.0, 3812.0, 8, 'r']"
1109,"[2646.0, 3657.0, 9, 'r']"
1110,"[2709.0, 3714.0, 5, 'r']"
1111,"[2709.0, 3713.0, 5, 'r']"
1112,"[3378.0, 3824.0, 20, 'r']"
1114,"[3376, 3818, 14, 'e']"
1115,"[2794.0, 3694.0, 9, 'r']"
1116,"[2741.0, 3701.0, 6, 'r']"
1119,"[3362.0, 3811.0, 10, 'r']"
1120,"[2736.0, 3702.0, 8, 'r']"
1122,"[3329, 3789, 11, 'e']"
1124,"[3323.0, 3789.0, 8, 'r']"
1126,"[3280.0, 3831.0, 11, 'r']"
1127,"[3314, 3815, 35, 'e']"
1131,"[3322.0, 3804.0, 28, 'r']"
1132,"[3320.0, 3809.0, 13, 'r']"
1133,"[3342.0, 3804.0, 11, 'r']"
1134,"[3360.0, 3835.0, 16, 'r']"
1135,"[3370.0, 3824.0, 19, 'r']"
1136,"[3368, 3823, 20, 'e']"
1138,"[3363, 3813, 13, 'e']"
