total polygons,1531
373,"[783.0, 336.0, 17, 'r']"
374,"[343, 1002, 11, 'e']"
375,"[146.0, 811.0, 19, 'r']"
377,"[464.0, 477.0, 17, 'r']"
378,"[454.0, 482.0, 26, 'r']"
379,"[74, 518, 13, 'e']"
380,"[153, 807, 26, 'e']"
381,"[192.0, 851.0, 12, 'r']"
382,"[465.0, 343.0, 33, 'r']"
383,"[358.0, 908.0, 35, 'r']"
385,"[370.0, 962.0, 15, 'r']"
386,"[310.0, 460.0, 26, 'r']"
387,"[359.0, 909.0, 15, 'r']"
388,"[70, 617, 13, 'e']"
390,"[740, 379, 22, 'e']"
392,"[118.0, 747.0, 46, 'r']"
393,"[593.0, 388.0, 13, 'r']"
394,"[225, 892, 11, 'e']"
396,"[351.0, 523.0, 15, 'r']"
397,"[781.0, 339.0, 18, 'r']"
398,"[543, 453, 25, 'e']"
399,"[111.0, 695.0, 15, 'r']"
400,"[193.0, 853.0, 11, 'r']"
401,"[368.0, 1008.0, 9, 'r']"
402,"[502.0, 435.0, 13, 'r']"
403,"[460, 563, 20, 'e']"
404,"[783.0, 338.0, 16, 'r']"
405,"[124, 534, 16, 'e']"
406,"[187.0, 824.0, 11, 'r']"
408,"[56.0, 636.0, 25, 'r']"
409,"[498.0, 438.0, 16, 'r']"
411,"[833.0, 291.0, 16, 'r']"
412,"[565.0, 408.0, 28, 'r']"
413,"[299.0, 844.0, 19, 'r']"
415,"[252.0, 871.0, 14, 'r']"
416,"[740.0, 255.0, 19, 'r']"
417,"[466.0, 345.0, 18, 'r']"
418,"[441.0, 594.0, 23, 'r']"
419,"[145.0, 810.0, 17, 'r']"
420,"[507.0, 326.0, 16, 'r']"
421,"[502.0, 437.0, 11, 'r']"
422,"[466.0, 345.0, 19, 'r']"
425,"[839.0, 302.0, 7, 'r']"
428,"[331.0, 478.0, 28, 'r']"
429,"[264.0, 830.0, 20, 'r']"
430,"[783.0, 338.0, 18, 'r']"
431,"[343.0, 492.0, 6, 'r']"
432,"[632.0, 281.0, 20, 'r']"
433,"[316.0, 935.0, 17, 'r']"
436,"[467.0, 348.0, 16, 'r']"
437,"[153.0, 808.0, 23, 'r']"
438,"[624.0, 482.0, 32, 'r']"
439,"[53.0, 640.0, 16, 'r']"
440,"[553.0, 532.0, 30, 'r']"
441,"[466, 348, 29, 'e']"
443,"[381, 910, 10, 'e']"
446,"[465, 348, 22, 'e']"
447,"[191.0, 855.0, 22, 'r']"
448,"[465.0, 344.0, 43, 'r']"
449,"[350.0, 909.0, 18, 'r']"
450,"[464.0, 343.0, 20, 'r']"
451,"[697, 281, 24, 'r']"
452,"[263.0, 647.0, 24, 'r']"
453,"[82, 516, 27, 'e']"
454,"[830, 295, 16, 'e']"
456,"[464.0, 348.0, 28, 'r']"
457,"[119.0, 749.0, 27, 'r']"
458,"[695, 284, 13, 'r']"
460,"[1394.0, 1178.0, 17, 'r']"
461,"[1274.0, 794.0, 13, 'r']"
463,"[1233.0, 771.0, 21, 'r']"
464,"[1293.0, 1159.0, 21, 'r']"
465,"[1297.0, 1152.0, 25, 'r']"
466,"[1292.0, 1168.0, 17, 'r']"
467,"[1293.0, 1169.0, 20, 'r']"
469,"[1192.0, 780.0, 5, 'r']"
470,"[1297.0, 1143.0, 15, 'r']"
472,"[1301, 1120, 21, 'e']"
473,"[1394.0, 1164.0, 24, 'r']"
474,"[1184.0, 797.0, 36, 'r']"
475,"[1393.0, 1156.0, 13, 'r']"
477,"[1296, 1155, 22, 'e']"
478,"[1296.0, 1154.0, 19, 'r']"
479,"[1294.0, 1138.0, 20, 'r']"
480,"[1180.0, 801.0, 29, 'r']"
481,"[1192.0, 781.0, 5, 'r']"
482,"[1181.0, 800.0, 30, 'r']"
483,"[1319.0, 899.0, 14, 'r']"
484,"[1253.0, 986.0, 9, 'r']"
485,"[1398, 1178, 27, 'r']"
487,"[1192.0, 785.0, 10, 'r']"
488,"[1392, 1135, 21, 'e']"
489,"[1221, 794, 17, 'e']"
490,"[1264.0, 915.0, 13, 'r']"
492,"[852.0, 1154.0, 22, 'r']"
493,"[931.0, 981.0, 18, 'r']"
494,"[1107.0, 884.0, 17, 'r']"
495,"[1097.0, 1276.0, 15, 'r']"
498,"[1172, 831, 33, 'e']"
499,"[959.0, 710.0, 22, 'r']"
500,"[1027.0, 585.0, 7, 'r']"
502,"[833.0, 631.0, 13, 'r']"
503,"[1008.0, 1235.0, 20, 'r']"
505,"[766.0, 971.0, 31, 'r']"
506,"[1031.0, 1205.0, 15, 'r']"
507,"[964.0, 898.0, 13, 'r']"
509,"[1008.0, 694.0, 18, 'r']"
511,"[889.0, 1250.0, 24, 'r']"
514,"[788, 1098, 18, 'e']"
515,"[889.0, 1249.0, 37, 'r']"
518,"[1179.0, 835.0, 13, 'r']"
520,"[789.0, 1121.0, 27, 'r']"
521,"[955.0, 1223.0, 20, 'r']"
522,"[766.0, 984.0, 6, 'r']"
523,"[918.0, 1242.0, 9, 'r']"
524,"[801.0, 1035.0, 51, 'r']"
527,"[982.0, 1186.0, 15, 'r']"
528,"[743.0, 1203.0, 12, 'r']"
529,"[965.0, 927.0, 40, 'r']"
531,"[1081.0, 888.0, 27, 'r']"
533,"[787.0, 1124.0, 27, 'r']"
534,"[1113.0, 1151.0, 14, 'r']"
535,"[1017, 607, 36, 'e']"
536,"[962.0, 685.0, 20, 'r']"
537,"[889.0, 1251.0, 22, 'r']"
538,"[1006.0, 1137.0, 28, 'r']"
539,"[1033.0, 595.0, 17, 'r']"
543,"[1078.0, 887.0, 48, 'r']"
545,"[1015.0, 607.0, 21, 'r']"
546,"[913.0, 1244.0, 9, 'r']"
547,"[1071.0, 1134.0, 20, 'r']"
550,"[1033, 641, 20, 'e']"
553,"[1109.0, 986.0, 23, 'r']"
554,"[1063.0, 591.0, 22, 'r']"
555,"[964.0, 1150.0, 16, 'r']"
557,"[782.0, 1125.0, 40, 'r']"
559,"[805, 1152, 18, 'e']"
560,"[1174, 832, 34, 'e']"
561,"[1019.0, 794.0, 11, 'r']"
562,"[999.0, 1173.0, 25, 'r']"
563,"[958.0, 941.0, 38, 'r']"
564,"[960.0, 1002.0, 17, 'r']"
565,"[1082.0, 895.0, 25, 'r']"
566,"[959.0, 1140.0, 29, 'r']"
569,"[806.0, 1038.0, 31, 'r']"
571,"[1005.0, 790.0, 15, 'r']"
572,"[766.0, 991.0, 46, 'r']"
574,"[768.0, 997.0, 11, 'r']"
575,"[891.0, 1250.0, 28, 'r']"
576,"[885.0, 1240.0, 26, 'r']"
577,"[781.0, 1117.0, 44, 'r']"
578,"[1004.0, 790.0, 16, 'r']"
580,"[924.0, 1071.0, 18, 'r']"
582,"[1019.0, 606.0, 17, 'r']"
584,"[957.0, 1202.0, 16, 'r']"
585,"[1009.0, 694.0, 16, 'r']"
586,"[958, 987, 17, 'e']"
588,"[1040.0, 618.0, 21, 'r']"
589,"[889.0, 1252.0, 25, 'r']"
590,"[982.0, 1139.0, 17, 'r']"
591,"[770.0, 1074.0, 15, 'r']"
595,"[912.0, 1246.0, 9, 'r']"
596,"[921.0, 1244.0, 9, 'r']"
598,"[922.0, 1700.0, 23, 'r']"
599,"[1013.0, 1407.0, 32, 'r']"
600,"[937.0, 1545.0, 23, 'r']"
603,"[705.0, 1544.0, 9, 'r']"
605,"[846, 1344, 35, 'e']"
607,"[931.0, 1685.0, 28, 'r']"
608,"[723.0, 1338.0, 19, 'r']"
609,"[1293, 1525, 24, 'e']"
610,"[1292.0, 1526.0, 20, 'r']"
613,"[720.0, 1540.0, 21, 'r']"
614,"[1355.0, 1545.0, 25, 'r']"
615,"[884.0, 1680.0, 45, 'r']"
618,"[1158, 1781, 16, 'e']"
620,"[1413.0, 1773.0, 29, 'r']"
621,"[1151.0, 1744.0, 26, 'r']"
622,"[696.0, 1496.0, 26, 'r']"
623,"[716.0, 1340.0, 17, 'r']"
624,"[1157.0, 1885.0, 9, 'r']"
625,"[983.0, 1588.0, 31, 'r']"
626,"[1348, 1537, 31, 'e']"
627,"[1159, 1807, 26, 'e']"
628,"[1166.0, 1872.0, 10, 'r']"
629,"[720.0, 1338.0, 19, 'r']"
630,"[1347.0, 1536.0, 25, 'r']"
631,"[1161.0, 1870.0, 8, 'r']"
632,"[1350.0, 1542.0, 27, 'r']"
633,"[1047.0, 1312.0, 27, 'r']"
634,"[1298.0, 1681.0, 21, 'r']"
635,"[1163.0, 1871.0, 22, 'r']"
637,"[1215, 1430, 23, 'e']"
638,"[1238, 1717, 49, 'e']"
641,"[1171.0, 1751.0, 25, 'r']"
642,"[1167, 1806, 22, 'e']"
643,"[1160.0, 1870.0, 9, 'r']"
644,"[1295.0, 1663.0, 18, 'r']"
645,"[1156.0, 1885.0, 9, 'r']"
647,"[1168.0, 1873.0, 9, 'r']"
648,"[1158.0, 1814.0, 26, 'r']"
649,"[1352.0, 1786.0, 22, 'r']"
650,"[872.0, 1382.0, 24, 'r']"
653,"[1013, 1622, 23, 'e']"
654,"[1129.0, 1808.0, 20, 'r']"
656,"[1159.0, 1886.0, 9, 'r']"
657,"[696.0, 1497.0, 28, 'r']"
658,"[897.0, 1289.0, 4, 'r']"
659,"[1372, 1670, 30, 'e']"
660,"[1206.0, 1881.0, 17, 'r']"
662,"[1119.0, 1930.0, 13, 'r']"
663,"[1368.0, 1926.0, 21, 'r']"
664,"[1354.0, 1543.0, 31, 'r']"
665,"[1132.0, 1799.0, 19, 'r']"
666,"[1162.0, 1871.0, 10, 'r']"
667,"[1163.0, 1871.0, 10, 'r']"
668,"[1154.0, 1883.0, 9, 'r']"
669,"[1158.0, 1886.0, 8, 'r']"
670,"[1156, 1745, 20, 'e']"
672,"[694.0, 1496.0, 20, 'r']"
673,"[1208.0, 1660.0, 25, 'r']"
674,"[1312.0, 1649.0, 21, 'r']"
675,"[929.0, 1687.0, 22, 'r']"
676,"[927, 1689, 34, 'e']"
677,"[1418.0, 1772.0, 20, 'r']"
679,"[1358.0, 1885.0, 21, 'r']"
680,"[1116.0, 1931.0, 19, 'r']"
681,"[1161.0, 1892.0, 22, 'r']"
683,"[1122.0, 1929.0, 10, 'r']"
684,"[1183.0, 1430.0, 28, 'r']"
685,"[845.0, 1337.0, 43, 'r']"
686,"[1275, 1915, 45, 'e']"
687,"[1118.0, 1931.0, 17, 'r']"
688,"[1167.0, 1873.0, 9, 'r']"
689,"[1164.0, 1872.0, 9, 'r']"
692,"[795, 1490, 20, 'e']"
693,"[934.0, 1685.0, 18, 'r']"
694,"[1243.0, 1427.0, 23, 'r']"
695,"[1322, 1523, 18, 'e']"
697,"[858, 1392, 15, 'e']"
698,"[934.0, 1685.0, 19, 'r']"
700,"[1347.0, 1537.0, 23, 'r']"
701,"[1119.0, 1930.0, 32, 'r']"
702,"[746.0, 1473.0, 9, 'r']"
703,"[875.0, 1300.0, 14, 'r']"
704,"[937.0, 1692.0, 22, 'r']"
705,"[1306.0, 1655.0, 27, 'r']"
706,"[1236.0, 1715.0, 22, 'r']"
707,"[939.0, 1688.0, 19, 'r']"
708,"[1156.0, 1885.0, 9, 'r']"
711,"[1358.0, 1887.0, 23, 'r']"
712,"[1155.0, 1884.0, 9, 'r']"
713,"[1167.0, 1873.0, 9, 'r']"
714,"[1164.0, 1872.0, 10, 'r']"
715,"[1165.0, 1872.0, 9, 'r']"
716,"[1162.0, 1871.0, 10, 'r']"
718,"[1408, 1774, 34, 'e']"
723,"[1030.0, 1387.0, 23, 'r']"
724,"[1014, 1411, 39, 'e']"
725,"[1155.0, 1884.0, 9, 'r']"
726,"[1399.0, 1857.0, 21, 'r']"
727,"[1345.0, 1832.0, 33, 'r']"
728,"[1417, 1773, 22, 'e']"
729,"[695.0, 1497.0, 25, 'r']"
730,"[1005, 1411, 18, 'e']"
732,"[821.0, 1528.0, 19, 'r']"
733,"[830.0, 1542.0, 5, 'r']"
734,"[749.0, 1527.0, 6, 'r']"
736,"[781.0, 1535.0, 7, 'r']"
737,"[704.0, 1537.0, 8, 'r']"
738,"[705.0, 1548.0, 5, 'r']"
739,"[744.0, 1499.0, 70, 'r']"
740,"[764.0, 1494.0, 5, 'r']"
741,"[765.0, 1494.0, 8, 'r']"
742,"[765.0, 1539.0, 6, 'r']"
743,"[703.0, 1537.0, 9, 'r']"
744,"[828.0, 1475.0, 10, 'r']"
745,"[744.0, 1487.0, 10, 'r']"
746,"[746.0, 1473.0, 27, 'r']"
747,"[750.0, 1553.0, 8, 'r']"
748,"[764.0, 1493.0, 7, 'r']"
749,"[785.0, 1481.0, 6, 'r']"
750,"[702.0, 1536.0, 8, 'r']"
751,"[712.0, 1540.0, 13, 'r']"
753,"[795.0, 1489.0, 16, 'r']"
754,"[749.0, 1528.0, 9, 'r']"
755,"[704.0, 1537.0, 9, 'r']"
756,"[706.0, 1548.0, 10, 'r']"
757,"[712.0, 1537.0, 7, 'r']"
758,"[735.0, 1487.0, 13, 'r']"
759,"[741.0, 1557.0, 8, 'r']"
760,"[748.0, 1527.0, 5, 'r']"
761,"[812.0, 1494.0, 12, 'r']"
762,"[705.0, 1544.0, 19, 'r']"
763,"[734.0, 1557.0, 11, 'r']"
764,"[743.0, 1500.0, 86, 'r']"
765,"[744.0, 1499.0, 79, 'r']"
766,"[704.0, 1535.0, 10, 'r']"
767,"[704.0, 1549.0, 22, 'r']"
768,"[724.0, 1555.0, 8, 'r']"
770,"[737.0, 1559.0, 15, 'r']"
771,"[742.0, 1484.0, 16, 'r']"
772,"[744.0, 1492.0, 10, 'r']"
773,"[744.0, 1530.0, 9, 'r']"
774,"[745.0, 1530.0, 6, 'r']"
775,"[754.0, 1518.0, 6, 'r']"
776,"[781.0, 1535.0, 6, 'r']"
777,"[703.0, 1549.0, 11, 'r']"
778,"[829.0, 1528.0, 10, 'r']"
779,"[808.0, 1535.0, 6, 'r']"
780,"[735.0, 1556.0, 6, 'r']"
781,"[743.0, 1500.0, 5, 'r']"
782,"[743.0, 1500.0, 74, 'r']"
783,"[758.0, 1518.0, 7, 'r']"
784,"[720.0, 1540.0, 13, 'r']"
785,"[742.0, 1478.0, 7, 'r']"
786,"[730, 1561, 9, 'e']"
790,"[812.0, 1589.0, 8, 'r']"
794,"[812.0, 1588.0, 10, 'r']"
795,"[862.0, 1467.0, 11, 'r']"
796,"[823.0, 1443.0, 10, 'r']"
797,"[894.0, 1572.0, 6, 'r']"
799,"[1005, 1411, 18, 'e']"
800,"[1048.0, 1313.0, 10, 'r']"
801,"[864.0, 1388.0, 10, 'r']"
805,"[791.0, 1450.0, 6, 'r']"
806,"[812.0, 1589.0, 9, 'r']"
807,"[823.0, 1443.0, 9, 'r']"
808,"[872.0, 1382.0, 11, 'r']"
809,"[1004.0, 1414.0, 12, 'r']"
810,"[1013.0, 1409.0, 15, 'r']"
815,"[736.0, 1433.0, 8, 'r']"
817,"[812.0, 1589.0, 8, 'r']"
818,"[1031.0, 1387.0, 16, 'r']"
820,"[1105.0, 1558.0, 10, 'r']"
822,"[911.0, 1583.0, 44, 'r']"
823,"[1013.0, 1407.0, 22, 'r']"
824,"[1014, 1411, 27, 'e']"
826,"[1097.0, 1573.0, 13, 'r']"
829,"[823.0, 1444.0, 10, 'r']"
830,"[860.0, 1393.0, 11, 'r']"
831,"[1112.0, 1320.0, 9, 'r']"
836,"[912.0, 1584.0, 7, 'r']"
839,"[810.0, 1142.0, 9, 'r']"
840,"[830.0, 1172.0, 18, 'r']"
841,"[938.0, 1149.0, 21, 'r']"
842,"[804.0, 1148.0, 9, 'r']"
843,"[769.0, 1015.0, 6, 'r']"
844,"[955.0, 1224.0, 21, 'r']"
845,"[791.0, 1083.0, 19, 'r']"
846,"[789.0, 1013.0, 15, 'r']"
847,"[770.0, 1074.0, 20, 'r']"
848,"[815.0, 1081.0, 12, 'r']"
850,"[819.0, 1145.0, 5, 'r']"
852,"[826.0, 1174.0, 12, 'r']"
853,"[804.0, 1150.0, 6, 'r']"
855,"[957.0, 1202.0, 16, 'r']"
856,"[982.0, 1186.0, 15, 'r']"
857,"[792.0, 1013.0, 16, 'r']"
858,"[736.0, 1206.0, 28, 'r']"
859,"[965.0, 1159.0, 18, 'r']"
860,"[957, 1136, 52, 'e']"
861,"[817.0, 1149.0, 6, 'r']"
862,"[805.0, 1149.0, 10, 'r']"
863,"[847.0, 1174.0, 35, 'r']"
864,"[956.0, 1224.0, 17, 'r']"
865,"[776.0, 1063.0, 14, 'r']"
866,"[815.0, 1083.0, 11, 'r']"
867,"[804.0, 1150.0, 5, 'r']"
868,"[808.0, 1142.0, 7, 'r']"
870,"[938.0, 1150.0, 23, 'r']"
871,"[967.0, 1247.0, 8, 'r']"
872,"[790.0, 1012.0, 16, 'r']"
873,"[967.0, 1247.0, 8, 'r']"
874,"[955.0, 1223.0, 16, 'r']"
875,"[787.0, 1125.0, 31, 'r']"
877,"[814.0, 1141.0, 5, 'r']"
878,"[846.0, 1174.0, 9, 'r']"
879,"[820.0, 1055.0, 16, 'r']"
880,"[938.0, 1149.0, 20, 'r']"
881,"[780.0, 1117.0, 16, 'r']"
882,"[775.0, 1060.0, 6, 'r']"
883,"[939.0, 1148.0, 8, 'r']"
884,"[964.0, 1150.0, 21, 'r']"
885,"[781.0, 1117.0, 16, 'r']"
886,"[954.0, 1222.0, 47, 'r']"
887,"[813.0, 1140.0, 5, 'r']"
890,"[1163.0, 1871.0, 7, 'r']"
891,"[1127.0, 1813.0, 7, 'r']"
892,"[1129.0, 1808.0, 10, 'r']"
895,"[1167, 1806, 11, 'e']"
896,"[887.0, 1679.0, 7, 'r']"
897,"[1156.0, 1744.0, 7, 'r']"
898,"[1297.0, 1689.0, 9, 'r']"
900,"[926.0, 1691.0, 7, 'r']"
901,"[1046.0, 1727.0, 6, 'r']"
902,"[937.0, 1691.0, 12, 'r']"
904,"[891.0, 1675.0, 8, 'r']"
905,"[1155.0, 1884.0, 11, 'r']"
906,"[1166.0, 1872.0, 7, 'r']"
909,"[927.0, 1692.0, 9, 'r']"
910,"[925.0, 1691.0, 9, 'r']"
912,"[925.0, 1694.0, 7, 'r']"
913,"[1119.0, 1930.0, 38, 'r']"
914,"[925.0, 1692.0, 6, 'r']"
915,"[927.0, 1691.0, 7, 'r']"
916,"[984.0, 1589.0, 10, 'r']"
917,"[926.0, 1688.0, 8, 'r']"
918,"[1155.0, 1884.0, 9, 'r']"
919,"[1208.0, 1661.0, 13, 'r']"
920,"[1161.0, 1870.0, 7, 'r']"
